Time	X	Y	Heading_Angle	Angular_Velocity	Speed
1627951167.07	-1.167955	-3.281724	-3.135119	0.228065	0.32652
1627951167.09	-1.174331	-3.281703	-3.134269	-0.148801	0.31728
1627951167.11	-1.180822	-3.281541	-3.132182	0.200285	0.319595
1627951167.13	-1.1873	-3.281667	-3.130682	0.030124	0.325092
1627951167.15	-1.193834	-3.282124	-3.127759	0.147417	0.323896
1627951167.17	-1.193834	-3.282124	-3.127759	0.147417	0.323896
1627951167.19	-1.206566	-3.281802	-3.127825	-0.118483	0.313054
1627951167.21	-1.212965	-3.28196	-3.126022	0.004304	0.317752
1627951167.23	-1.219141	-3.282211	-3.124641	0.185262	0.307044
1627951167.25	-1.22557	-3.282624	-3.12043	0.291761	0.324674
1627951167.27	-1.232218	-3.282827	-3.118009	0.055788	0.329683
1627951167.29	-1.238725	-3.282998	-3.115117	0.086173	0.323448
1627951167.31	-1.245446	-3.283471	-3.111666	0.233712	0.336262
1627951167.33	-1.252061	-3.283568	-3.111163	0.018551	0.329564
1627951167.35	-1.258782	-3.283732	-3.109247	0.099734	0.341014
1627951167.37	-1.26569	-3.283797	-3.108093	0.008889	0.342588
1627951167.39	-1.272472	-3.284354	-3.104403	0.132292	0.331735
1627951167.41	-1.279281	-3.284387	-3.103215	-0.035492	0.341614
1627951167.43	-1.286162	-3.284505	-3.104191	-0.035715	0.338596
1627951167.45	-1.293129	-3.284847	-3.102617	0.01634	0.343953
1627951167.47	-1.300097	-3.28539	-3.099283	0.091005	0.347295
1627951167.49	-1.306876	-3.285555	-3.09935	0.04754	0.339927
1627951167.51	-1.313673	-3.285527	-3.099034	-0.073351	0.347996
1627951167.53	-1.32035	-3.286034	-3.09628	0.253192	0.333862
1627951167.55	-1.327031	-3.286279	-3.094581	0.041251	0.331759
1627951167.57	-1.33398	-3.286859	-3.090473	0.28351	0.348723
1627951167.59	-1.341163	-3.28725	-3.0888	0.138486	0.365192
1627951167.61	-1.348317	-3.287701	-3.085918	0.157905	0.358198
1627951167.63	-1.355493	-3.288335	-3.082425	0.227629	0.35924
1627951167.65	-1.362589	-3.288388	-3.082741	-0.040817	0.355513
1627951167.67	-1.369792	-3.288683	-3.082092	0.071947	0.357297
1627951167.69	-1.376933	-3.289079	-3.079593	0.076944	0.35854
1627951167.71	-1.384273	-3.289499	-3.079582	-0.133757	0.364462
1627951167.73	-1.391672	-3.289618	-3.080828	-0.020183	0.366325
1627951167.75	-1.398821	-3.29004	-3.080005	0.067809	0.349283
1627951167.77	-1.405949	-3.290518	-3.077469	0.142927	0.35342
1627951167.79	-1.413179	-3.290764	-3.079705	-0.115189	0.355855
1627951167.81	-1.420208	-3.290694	-3.079693	-0.004022	0.347355
1627951167.83	-1.427224	-3.291111	-3.078435	-0.019307	0.356485
1627951167.85	-1.434393	-3.291604	-3.075398	0.179943	0.360011
1627951167.87	-1.441849	-3.292179	-3.073209	0.175218	0.368127
1627951167.89	-1.449109	-3.2923	-3.072383	0.259384	0.361375
1627951167.91	-1.456466	-3.292758	-3.070478	0.186678	0.37588
1627951167.93	-1.464024	-3.293379	-3.071397	-0.085102	0.381755
1627951167.95	-1.47147	-3.293444	-3.070813	0.060813	0.37476
1627951167.97	-1.478645	-3.293555	-3.070822	0.051762	0.353718
1627951167.99	-1.485996	-3.293882	-3.071314	-0.1205	0.37332
1627951168.01	-1.489774	-3.294033	-3.072621	-0.131576	0.380701
1627951168.03	-1.489774	-3.294033	-3.072621	-0.131576	0.380701
1627951168.05	-1.489774	-3.294033	-3.072621	-0.131576	0.380701
1627951168.07	-1.489774	-3.294033	-3.072621	-0.131576	0.380701
1627951168.09	-1.489774	-3.294033	-3.072621	-0.131576	0.380701
1627951168.11	-1.530856	-3.294865	-3.076347	0.052852	0.36986
1627951168.13	-1.538517	-3.294834	-3.076019	-0.036177	0.377531
1627951168.15	-1.546201	-3.295132	-3.074909	0.159027	0.388174
1627951168.17	-1.550054	-3.295443	-3.074501	0.040627	0.384986
1627951168.19	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.21	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.23	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.25	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.27	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.29	-1.553895	-3.295492	-3.075745	-0.125144	0.386534
1627951168.31	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.33	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.35	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.37	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.39	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.41	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.43	-1.604113	-3.296194	-3.08369	-0.156024	0.380673
1627951168.45	-1.658906	-3.296553	-3.087991	-0.266714	0.399022
1627951168.47	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.49	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.51	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.53	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.55	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.57	-1.666813	-3.296697	-3.088411	-0.003852	0.39845
1627951168.59	-1.714056	-3.295654	-3.10437	-0.070133	0.395519
1627951168.61	-1.722077	-3.295584	-3.102885	0.232795	0.406961
1627951168.63	-1.722077	-3.295584	-3.102885	0.232795	0.406961
1627951168.65	-1.722077	-3.295584	-3.102885	0.232795	0.406961
1627951168.67	-1.722077	-3.295584	-3.102885	0.232795	0.406961
1627951168.69	-1.722077	-3.295584	-3.102885	0.232795	0.406961
1627951168.71	-1.766273	-3.294361	-3.112763	-0.184477	0.400705
1627951168.74	-1.770243	-3.294304	-3.112194	0.05753	0.40141
1627951168.76	-1.786738	-3.293442	-3.11787	-0.191713	0.411229
1627951168.79	-1.794819	-3.293399	-3.119146	-0.087536	0.400254
1627951168.82	-1.806977	-3.293057	-3.12109	-0.051259	0.407946
1627951168.84	-1.818827	-3.292816	-3.123152	0.000858	0.391403
1627951168.86	-1.827026	-3.292548	-3.123138	-0.005112	0.417076
1627951168.88	-1.835403	-3.291981	-3.123848	0.003822	0.42313
1627951168.91	-1.843516	-3.291467	-3.127054	-0.256154	0.388221
1627951168.92	-1.855618	-3.290875	-3.129019	-0.203459	0.414333
1627951168.95	-1.863529	-3.289349	-3.138551	-0.382182	0.40624
1627951168.97	-1.871359	-3.287376	3.131041	-0.813866	0.403978
1627951168.99	-1.878728	-3.284926	3.114143	-0.92095	0.390604
1627951169.01	-1.882238	-3.283393	3.1049	-0.933435	0.386801
1627951169.03	-1.892744	-3.278786	3.075738	-0.803822	0.375747
1627951169.05	-1.899269	-3.274722	3.050913	-1.035585	0.370811
1627951169.07	-1.905417	-3.271132	3.030495	-1.011641	0.36534
1627951169.1	-1.914795	-3.26525	2.997738	-0.957461	0.355425
1627951169.11	-1.920604	-3.260917	2.975068	-1.11702	0.369692
1627951169.13	-1.92655	-3.256379	2.952566	-1.1405	0.376531
1627951169.16	-1.92932	-3.253932	2.941391	-1.115258	0.368853
1627951169.18	-1.937591	-3.246539	2.901819	-1.267634	0.373335
1627951169.2	-1.943097	-3.241489	2.875462	-1.207252	0.373173
1627951169.22	-1.948449	-3.23602	2.852	-0.969392	0.376797
1627951169.24	-1.953496	-3.230309	2.824265	-1.284307	0.374525
1627951169.26	-1.958408	-3.224434	2.793067	-1.609735	0.383363
1627951169.28	-1.962917	-3.2188	2.767637	-1.253438	0.344816
1627951169.31	-1.969867	-3.210166	2.730905	-1.123225	0.369645
1627951169.33	-1.973861	-3.20448	2.706922	-1.346352	0.362126
1627951169.35	-1.978154	-3.198387	2.67934	-1.365976	0.36486
1627951169.37	-1.981814	-3.192351	2.651851	-1.525371	0.361137
1627951169.39	-1.985386	-3.18589	2.625174	-1.288568	0.37288
1627951169.41	-1.988752	-3.179201	2.597015	-1.43438	0.370947
1627951169.43	-1.992088	-3.172513	2.567337	-1.437052	0.372468
1627951169.46	-1.996654	-3.162537	2.526757	-1.388102	0.380732
1627951169.48	-1.999718	-3.155535	2.498403	-1.423064	0.392121
1627951169.5	-2.00223	-3.148304	2.471119	-1.426655	0.370725
1627951169.52	-2.004667	-3.141016	2.438777	-1.730602	0.394196
1627951169.54	-2.006674	-3.13398	2.409615	-1.567422	0.358894
1627951169.56	-2.009095	-3.126844	2.382531	-1.319909	0.393818
1627951169.58	-2.010688	-3.119684	2.355625	-1.344304	0.354871
1627951169.6	-2.012444	-3.112468	2.327547	-1.44998	0.383087
1627951169.62	-2.013752	-3.105136	2.299838	-1.382029	0.355803
1627951169.64	-2.014834	-3.097856	2.271753	-1.37359	0.366995
1627951169.66	-2.015636	-3.090318	2.242635	-1.451928	0.380492
1627951169.67	-2.016302	-3.082685	2.214356	-1.417133	0.37896
1627951169.69	-2.016635	-3.07885	2.198728	-1.565822	0.385706
1627951169.71	-2.016825	-3.071329	2.16794	-1.721355	0.384249
1627951169.73	-2.016932	-3.063433	2.137417	-1.452235	0.397345
1627951169.74	-2.016942	-3.0556	2.109447	-1.645427	0.398631
1627951169.76	-2.016863	-3.051884	2.095947	-1.354649	0.372901
1627951169.78	-2.016401	-3.044054	2.063668	-1.516487	0.393435
1627951169.8	-2.015769	-3.036494	2.033714	-1.485982	0.371195
1627951169.81	-2.014975	-3.028775	2.005227	-1.371643	0.382399
